"","MU","BIT500","BIT1000","BIT1500","Naive500","Naive1000","Naive1500"
"1",-5,0.0022580188135531,0.000818472327772802,0.000510569741043017,0.00245874128916261,0.00114969905279038,0.000769359289984737
"2",-4.5,0.00212966515481292,0.00103666958740791,0.00064169937082568,0.00264156021151374,0.00101536653110342,0.000768920849747399
"3",-4,0.00198518372879334,0.000681825887143333,0.000600056078685824,0.00212557745481653,0.000996199499101249,0.000692048219199762
"4",-3.5,0.00165538478428067,0.000852297662144227,0.000485813251788291,0.00197356914261532,0.00112894933573882,0.000772942245152072
"5",-3,0.00160390407139712,0.000971558635515894,0.000700264757159971,0.00198764288931968,0.00132907774386411,0.000847521525906551
"6",-2.5,0.00188736351670382,0.000770553000802977,0.000572850943985385,0.00270199537402184,0.0010627703005949,0.000731624494748081
