"value","mu","group"
0.875381133524534,"-5","BIT (I=500)"
0.91537047748191,"-5","BIT (I=500)"
0.872337729350918,"-5","BIT (I=500)"
0.904121920487682,"-5","BIT (I=500)"
0.912036288145153,"-5","BIT (I=500)"
0.889925383701535,"-5","BIT (I=500)"
0.894503258013032,"-5","BIT (I=500)"
0.890114408457634,"-5","BIT (I=500)"
0.903051228204913,"-5","BIT (I=500)"
0.876978387913552,"-5","BIT (I=500)"
0.892630770523082,"-5","BIT (I=500)"
0.890632330529322,"-5","BIT (I=500)"
0.846479737918952,"-5","BIT (I=500)"
0.880002592010368,"-5","BIT (I=500)"
0.890022248088992,"-5","BIT (I=500)"
0.889182244728979,"-5","BIT (I=500)"
0.880793539174157,"-5","BIT (I=500)"
0.888374305497222,"-5","BIT (I=500)"
0.899203436813747,"-5","BIT (I=500)"
0.892839379357517,"-5","BIT (I=500)"
0.909787191148765,"-5","BIT (I=500)"
0.889250693002772,"-5","BIT (I=500)"
0.914154920619682,"-5","BIT (I=500)"
0.864093696374786,"-5","BIT (I=500)"
0.905826983307933,"-5","BIT (I=500)"
0.909697334789339,"-5","BIT (I=500)"
0.905448069792279,"-5","BIT (I=500)"
0.874181416725667,"-5","BIT (I=500)"
0.899632174528698,"-5","BIT (I=500)"
0.879070236280945,"-5","BIT (I=500)"
0.874802635210541,"-5","BIT (I=500)"
0.878991803967216,"-5","BIT (I=500)"
0.883557006228025,"-5","BIT (I=500)"
0.897385189540758,"-5","BIT (I=500)"
0.901674390697563,"-5","BIT (I=500)"
0.895951999807999,"-5","BIT (I=500)"
0.873958215832863,"-5","BIT (I=500)"
0.896155904623619,"-5","BIT (I=500)"
0.884308401233605,"-5","BIT (I=500)"
0.89212955251821,"-5","BIT (I=500)"
0.903344125376502,"-5","BIT (I=500)"
0.899799215196861,"-5","BIT (I=500)"
0.88677791511166,"-5","BIT (I=500)"
0.922070056280225,"-5","BIT (I=500)"
0.845137460549842,"-5","BIT (I=500)"
0.894144888579555,"-5","BIT (I=500)"
0.869903735614943,"-5","BIT (I=500)"
0.908552434209737,"-5","BIT (I=500)"
0.91810255241021,"-5","BIT (I=500)"
0.914689642758571,"-5","BIT (I=500)"
0.881774087096348,"-5","BIT (I=500)"
0.878609530438122,"-5","BIT (I=500)"
0.867962223848896,"-5","BIT (I=500)"
0.896894723578894,"-5","BIT (I=500)"
0.880620450481802,"-5","BIT (I=500)"
0.899808815235261,"-5","BIT (I=500)"
0.904267073068292,"-5","BIT (I=500)"
0.914863403453614,"-5","BIT (I=500)"
0.876673682694731,"-5","BIT (I=500)"
0.904539714158857,"-5","BIT (I=500)"
0.888064032256129,"-5","BIT (I=500)"
0.882287977151909,"-5","BIT (I=500)"
0.873051396205585,"-5","BIT (I=500)"
0.890268105072421,"-5","BIT (I=500)"
0.904175104700419,"-5","BIT (I=500)"
0.882186600746403,"-5","BIT (I=500)"
0.903578270313081,"-5","BIT (I=500)"
0.911982047928192,"-5","BIT (I=500)"
0.904999747998992,"-5","BIT (I=500)"
0.90197515990064,"-5","BIT (I=500)"
0.895232860931444,"-5","BIT (I=500)"
0.886643418573674,"-5","BIT (I=500)"
0.887092220368882,"-5","BIT (I=500)"
0.855327325309301,"-5","BIT (I=500)"
0.846122407035903,"-5","Naive (I=1000)"
0.820218257059183,"-5","Naive (I=1000)"
0.826122493521707,"-5","Naive (I=1000)"
0.828375114333907,"-5","Naive (I=1000)"
0.82853706592915,"-5","Naive (I=1000)"
0.821890173334879,"-5","Naive (I=1000)"
0.853244516268809,"-5","Naive (I=1000)"
0.842448769562215,"-5","Naive (I=1000)"
0.808476820721628,"-5","Naive (I=1000)"
0.856842903908402,"-5","Naive (I=1000)"
0.833011250431078,"-5","Naive (I=1000)"
0.818832317178087,"-5","Naive (I=1000)"
0.831502821514104,"-5","Naive (I=1000)"
0.827384883868407,"-5","Naive (I=1000)"
0.858703299508804,"-5","Naive (I=1000)"
0.808964453700795,"-5","Naive (I=1000)"
0.835684326924931,"-5","Naive (I=1000)"
0.834576506785372,"-5","Naive (I=1000)"
0.83647783725143,"-5","Naive (I=1000)"
0.832964528867194,"-5","Naive (I=1000)"
0.833683616765606,"-5","Naive (I=1000)"
0.817221443934636,"-5","Naive (I=1000)"
0.825082205121768,"-5","Naive (I=1000)"
0.850000705600878,"-5","Naive (I=1000)"
0.858371451256199,"-5","Naive (I=1000)"
0.825573058861414,"-5","Naive (I=1000)"
0.841587519370443,"-5","Naive (I=1000)"
0.836913032411801,"-5","Naive (I=1000)"
0.806385128851675,"-5","Naive (I=1000)"
0.849179937317582,"-5","Naive (I=1000)"
0.843853748278998,"-5","Naive (I=1000)"
0.811779744443024,"-5","Naive (I=1000)"
0.847483294440574,"-5","Naive (I=1000)"
0.824217410064711,"-5","Naive (I=1000)"
0.790807474422176,"-5","Naive (I=1000)"
0.839150063691788,"-5","Naive (I=1000)"
0.853257386919639,"-5","Naive (I=1000)"
0.8320678946048,"-5","Naive (I=1000)"
0.848187142643324,"-5","Naive (I=1000)"
0.854520178312709,"-5","Naive (I=1000)"
0.826289789782413,"-5","Naive (I=1000)"
0.836392453745981,"-5","Naive (I=1000)"
0.815010104178079,"-5","Naive (I=1000)"
0.849724462125705,"-5","Naive (I=1000)"
0.845813186006464,"-5","Naive (I=1000)"
0.829056790363667,"-5","Naive (I=1000)"
0.822195847520522,"-5","Naive (I=1000)"
0.826183710675622,"-5","Naive (I=1000)"
0.846477639342102,"-5","Naive (I=1000)"
0.858314875534213,"-5","Naive (I=1000)"
0.816617240155549,"-5","Naive (I=1000)"
0.789186193044764,"-5","Naive (I=1000)"
0.872368236651112,"-5","Naive (I=1000)"
0.828704645968816,"-5","Naive (I=1000)"
0.818589869459194,"-5","Naive (I=1000)"
0.81401302093413,"-5","Naive (I=1000)"
0.859049745947265,"-5","Naive (I=1000)"
0.841944006001413,"-5","Naive (I=1000)"
0.832245412494125,"-5","Naive (I=1000)"
0.860748666542514,"-5","Naive (I=1000)"
0.861850634352602,"-5","Naive (I=1000)"
0.822097878654285,"-5","Naive (I=1000)"
0.833202960184977,"-5","Naive (I=1000)"
0.83998431117918,"-5","Naive (I=1000)"
0.834230920949059,"-5","Naive (I=1000)"
0.835812308795725,"-5","Naive (I=1000)"
0.863484908721312,"-5","Naive (I=1000)"
0.84482330716728,"-5","Naive (I=1000)"
0.831038454432635,"-5","Naive (I=1000)"
0.812231008223329,"-5","Naive (I=1000)"
0.839517480408006,"-5","Naive (I=1000)"
0.829741985815446,"-5","Naive (I=1000)"
0.85661779564726,"-5","Naive (I=1000)"
0.84579225105325,"-5","Naive (I=1000)"
0.782851007523701,"-5","Naive (I=1000)"
0.820188035966977,"-5","Naive (I=1000)"
0.836209401606307,"-5","Naive (I=1000)"
0.823975110358868,"-5","Naive (I=1000)"
0.844173290502548,"-5","Naive (I=1000)"
0.817539885823065,"-5","Naive (I=1000)"
0.843389997032086,"-5","Naive (I=1000)"
0.834508688315484,"-5","Naive (I=1000)"
0.829367119391456,"-5","Naive (I=1000)"
0.810629731705697,"-5","Naive (I=1000)"
0.835492891127838,"-5","Naive (I=1000)"
0.837036394791781,"-5","Naive (I=1000)"
0.866193985030961,"-5","Naive (I=1000)"
0.850416227696159,"-5","Naive (I=1000)"
0.847555392255377,"-5","Naive (I=1000)"
0.81750429732546,"-5","Naive (I=1000)"
0.862784381145828,"-5","Naive (I=1000)"
0.841425755989351,"-5","Naive (I=1000)"
0.82754395629347,"-5","Naive (I=1000)"
0.850509471734828,"-5","Naive (I=1000)"
0.851335949534662,"-5","Naive (I=1000)"
0.831426325325659,"-5","Naive (I=1000)"
0.831370341816811,"-5","Naive (I=1000)"
0.82484295534682,"-5","Naive (I=1000)"
0.854900098852559,"-5","Naive (I=1000)"
0.841553770280081,"-5","Naive (I=1000)"
0.897101241101241,"-5","BIT (I=1000)"
0.881628785628786,"-5","BIT (I=1000)"
0.891406935406936,"-5","BIT (I=1000)"
0.893108633108633,"-5","BIT (I=1000)"
0.88970350970351,"-5","BIT (I=1000)"
0.887928455928456,"-5","BIT (I=1000)"
0.898103938103938,"-5","BIT (I=1000)"
0.896003456003456,"-5","BIT (I=1000)"
0.859075195075195,"-5","BIT (I=1000)"
0.898583806583807,"-5","BIT (I=1000)"
0.892513756513757,"-5","BIT (I=1000)"
0.880785820785821,"-5","BIT (I=1000)"
0.884555912555913,"-5","BIT (I=1000)"
0.886616350616351,"-5","BIT (I=1000)"
0.905879285879286,"-5","BIT (I=1000)"
0.860855492855493,"-5","BIT (I=1000)"
0.890609078609079,"-5","BIT (I=1000)"
0.895877803877804,"-5","BIT (I=1000)"
0.890532206532207,"-5","BIT (I=1000)"
0.881719721719722,"-5","BIT (I=1000)"
0.89178591978592,"-5","BIT (I=1000)"
0.870553818553819,"-5","BIT (I=1000)"
0.880823920823921,"-5","BIT (I=1000)"
0.906566922566923,"-5","BIT (I=1000)"
0.910715938715939,"-5","BIT (I=1000)"
0.888530508530509,"-5","BIT (I=1000)"
0.899710127710128,"-5","BIT (I=1000)"
0.88428338028338,"-5","BIT (I=1000)"
0.864479352479353,"-5","BIT (I=1000)"
0.892274344274344,"-5","BIT (I=1000)"
0.896939552939553,"-5","BIT (I=1000)"
0.872796260796261,"-5","BIT (I=1000)"
0.896511308511309,"-5","BIT (I=1000)"
0.884572496572497,"-5","BIT (I=1000)"
0.857871065871066,"-5","BIT (I=1000)"
0.8920069000069,"-5","BIT (I=1000)"
0.908002856002856,"-5","BIT (I=1000)"
0.885857805857806,"-5","BIT (I=1000)"
0.909403677403678,"-5","BIT (I=1000)"
0.905579525579526,"-5","BIT (I=1000)"
0.88591488991489,"-5","BIT (I=1000)"
0.888130104130104,"-5","BIT (I=1000)"
0.866734478734479,"-5","BIT (I=1000)"
0.904783372783373,"-5","BIT (I=1000)"
0.886706518706519,"-5","BIT (I=1000)"
0.87998133998134,"-5","BIT (I=1000)"
0.884067392067392,"-5","BIT (I=1000)"
0.887801555801556,"-5","BIT (I=1000)"
0.899367503367504,"-5","BIT (I=1000)"
0.902933114933115,"-5","BIT (I=1000)"
0.867017859017859,"-5","BIT (I=1000)"
0.85045609045609,"-5","BIT (I=1000)"
0.921473373473374,"-5","BIT (I=1000)"
0.884191484191484,"-5","BIT (I=1000)"
0.880466032466033,"-5","BIT (I=1000)"
0.872496932496933,"-5","BIT (I=1000)"
0.900901932901933,"-5","BIT (I=1000)"
0.895576411576412,"-5","BIT (I=1000)"
0.893324081324081,"-5","BIT (I=1000)"
0.908688380688381,"-5","BIT (I=1000)"
0.900567480567481,"-5","BIT (I=1000)"
0.875358935358936,"-5","BIT (I=1000)"
0.887388671388672,"-5","BIT (I=1000)"
0.888927048927049,"-5","BIT (I=1000)"
0.894339510339511,"-5","BIT (I=1000)"
0.887980487980488,"-5","BIT (I=1000)"
0.906867762867763,"-5","BIT (I=1000)"
0.900809952809953,"-5","BIT (I=1000)"
0.891091767091767,"-5","BIT (I=1000)"
0.87598223998224,"-5","BIT (I=1000)"
0.894396882396883,"-5","BIT (I=1000)"
0.885310725310726,"-5","BIT (I=1000)"
0.907558831558832,"-5","BIT (I=1000)"
0.889630405630406,"-5","BIT (I=1000)"
0.85999915999916,"-5","BIT (I=1000)"
0.883916215916216,"-5","BIT (I=1000)"
0.89009075009075,"-5","BIT (I=1000)"
0.88795487995488,"-5","BIT (I=1000)"
0.891224703224703,"-5","BIT (I=1000)"
0.876254724254724,"-5","BIT (I=1000)"
0.89570203970204,"-5","BIT (I=1000)"
0.886005526005526,"-5","BIT (I=1000)"
0.890182442182442,"-5","BIT (I=1000)"
0.870637182637183,"-5","BIT (I=1000)"
0.893703593703594,"-5","BIT (I=1000)"
0.884749544749545,"-5","BIT (I=1000)"
0.912747576747577,"-5","BIT (I=1000)"
0.898672738672739,"-5","BIT (I=1000)"
0.899302415302415,"-5","BIT (I=1000)"
0.873389745389746,"-5","BIT (I=1000)"
0.909598905598906,"-5","BIT (I=1000)"
0.893153345153345,"-5","BIT (I=1000)"
0.889124353124353,"-5","BIT (I=1000)"
0.899965331965332,"-5","BIT (I=1000)"
0.901356313356313,"-5","BIT (I=1000)"
0.889215301215301,"-5","BIT (I=1000)"
0.882563718563719,"-5","BIT (I=1000)"
0.886163818163818,"-5","BIT (I=1000)"
0.899919803919804,"-5","BIT (I=1000)"
0.893315513315513,"-5","BIT (I=1000)"
0.839787868941537,"-5","Naive (I=1500)"
0.837823818970183,"-5","Naive (I=1500)"
0.848800952649834,"-5","Naive (I=1500)"
0.826718441086905,"-5","Naive (I=1500)"
0.826067071331039,"-5","Naive (I=1500)"
0.860493826972848,"-5","Naive (I=1500)"
0.812225739310115,"-5","Naive (I=1500)"
0.830632675906026,"-5","Naive (I=1500)"
0.847267698437137,"-5","Naive (I=1500)"
0.844562485998337,"-5","Naive (I=1500)"
0.828101888374848,"-5","Naive (I=1500)"
0.846444874082428,"-5","Naive (I=1500)"
0.83092052624119,"-5","Naive (I=1500)"
0.849659921839501,"-5","Naive (I=1500)"
0.829000176534336,"-5","Naive (I=1500)"
0.834726043264197,"-5","Naive (I=1500)"
0.826765953648349,"-5","Naive (I=1500)"
0.832283300793612,"-5","Naive (I=1500)"
0.832582234805273,"-5","Naive (I=1500)"
0.837438462117169,"-5","Naive (I=1500)"
0.858661604491117,"-5","Naive (I=1500)"
0.846799640474811,"-5","Naive (I=1500)"
0.837351248049391,"-5","Naive (I=1500)"
0.850225108404345,"-5","Naive (I=1500)"
0.829106900502248,"-5","Naive (I=1500)"
0.826436618131202,"-5","Naive (I=1500)"
0.831325435223654,"-5","Naive (I=1500)"
0.84858360647382,"-5","Naive (I=1500)"
0.83305262394931,"-5","Naive (I=1500)"
0.826261454144251,"-5","Naive (I=1500)"
0.818386445863983,"-5","Naive (I=1500)"
0.844158473213875,"-5","Naive (I=1500)"
0.844799984918755,"-5","Naive (I=1500)"
0.844284685486333,"-5","Naive (I=1500)"
0.849720881783879,"-5","Naive (I=1500)"
0.841509449197501,"-5","Naive (I=1500)"
0.83582481438403,"-5","Naive (I=1500)"
0.81921068322514,"-5","Naive (I=1500)"
0.852220328435495,"-5","Naive (I=1500)"
0.830576677104476,"-5","Naive (I=1500)"
0.840338465749436,"-5","Naive (I=1500)"
0.832266687472147,"-5","Naive (I=1500)"
0.83984983762889,"-5","Naive (I=1500)"
0.852726470043982,"-5","Naive (I=1500)"
0.841479043446066,"-5","Naive (I=1500)"
0.827837145955878,"-5","Naive (I=1500)"
0.832686795435785,"-5","Naive (I=1500)"
0.838757861655872,"-5","Naive (I=1500)"
0.826972788953845,"-5","Naive (I=1500)"
0.82847072567936,"-5","Naive (I=1500)"
0.832243728805455,"-5","Naive (I=1500)"
0.846381906131518,"-5","Naive (I=1500)"
0.828147084541256,"-5","Naive (I=1500)"
0.81746828131035,"-5","Naive (I=1500)"
0.821989021905437,"-5","Naive (I=1500)"
0.83684511658671,"-5","Naive (I=1500)"
0.824532166142363,"-5","Naive (I=1500)"
0.828810516472619,"-5","Naive (I=1500)"
0.815114996788905,"-5","Naive (I=1500)"
0.856609759168425,"-5","Naive (I=1500)"
0.847696086472042,"-5","Naive (I=1500)"
0.838775288128672,"-5","Naive (I=1500)"
0.827230917792921,"-5","Naive (I=1500)"
0.825528158764337,"-5","Naive (I=1500)"
0.83374904542723,"-5","Naive (I=1500)"
0.821836036284206,"-5","Naive (I=1500)"
0.840330027349808,"-5","Naive (I=1500)"
0.825310840606142,"-5","Naive (I=1500)"
0.839919182704207,"-5","Naive (I=1500)"
0.837339698103971,"-5","Naive (I=1500)"
0.834431479955255,"-5","Naive (I=1500)"
0.854277493917668,"-5","Naive (I=1500)"
0.833439886140671,"-5","Naive (I=1500)"
0.835896189874966,"-5","Naive (I=1500)"
0.814089606989102,"-5","Naive (I=1500)"
0.85187132774977,"-5","Naive (I=1500)"
0.810322703617026,"-5","Naive (I=1500)"
0.819709266793381,"-5","Naive (I=1500)"
0.842891363004975,"-5","Naive (I=1500)"
0.828517773068822,"-5","Naive (I=1500)"
0.857348703364726,"-5","Naive (I=1500)"
0.831177920075212,"-5","Naive (I=1500)"
0.82695189490655,"-5","Naive (I=1500)"
0.836875648615426,"-5","Naive (I=1500)"
0.820582390336069,"-5","Naive (I=1500)"
0.827627733236246,"-5","Naive (I=1500)"
0.832986025524046,"-5","Naive (I=1500)"
0.828735064441017,"-5","Naive (I=1500)"
